MFI ID,MFI Name,MFI Full Name,Country,Region,Last known legal status,Last known profit status
102054,Kintampo RB,Kintampo Rural Bank Ltd,Ghana,Africa,Rural Bank,Profit
100725,KixiCredito,KixiCredito,Angola,Africa,NBFI,Profit
176787,KK FUND,KK FUND LEASING PLC,Cambodia,East Asia and the Pacific,Unknown,Unknown
100377,KKBWA,Karakalpak Department of Business Womens' Association 'Tadbirkor Ayol',Uzbekistan,Eastern Europe and Central Asia,NGO,Non-profit
170605,KKI,koperasi Kasih Indonesia,Indonesia,East Asia and the Pacific,Credit Union / Cooperative,Profit
100668,KMBI,"Kabalikat para sa Maunlad na Buhay, Inc.",Philippines,East Asia and the Pacific,NGO,Non-profit
100571,KMF,"Kazmicrofinance, LLC (formerly KLF)",Kazakhstan,Eastern Europe and Central Asia,NBFI,Profit
149270,KMUCBL,Konakalata Mahila Urban Co-operative Bank Ltd.,India,South Asia,Credit Union / Cooperative,Profit
101733,Kokari,Kokari,Niger,Africa,Credit Union / Cooperative,Non-profit
104377,Kolos,Kolos,Russia,Eastern Europe and Central Asia,Credit Union / Cooperative,Non-profit
102064,Komak Credit,Komak Credit Union,Azerbaijan,Eastern Europe and Central Asia,Credit Union / Cooperative,Non-profit
104356,Komek,MCO Komek,Kazakhstan,Eastern Europe and Central Asia,NBFI,Profit
176677,KomercBank,KomercBank,Tajikistan,Eastern Europe and Central Asia,Bank,Unknown
101785,KOMIDA,Koperasi Mitra Dhuafa,Indonesia,East Asia and the Pacific,Credit Union / Cooperative,Non-profit
100261,Kompanion,Kompanion Financial Group Microfinance Closed Joint Stock Company,Kyrgyzstan,Eastern Europe and Central Asia,Bank,Non-profit
100557,Kondo Jigima,Kondo Jigima,Mali,Africa,Credit Union / Cooperative,Non-profit
115177,Konstanta Kapital,MCO Konstanta Kapital,Uzbekistan,Eastern Europe and Central Asia,NBFI,Profit
131281,Koperasi SK,Koperasi Simpan Pinjam Surya Kenchana,Indonesia,East Asia and the Pacific,Credit Union / Cooperative,Profit
102464,KOPSA,KOPSA,India,South Asia,NBFI,Non-profit
104190,KOPWANTERA,Koperasi Wanita Sejahtera,Indonesia,East Asia and the Pacific,Unknown,Profit
100762,Koshi Yomuti,Koshi Yomuti ELO / Microfinance Project in Northern Namibia (MPNN),Namibia,Africa,NGO,Non-profit
101032,KosInvest,KosInvest,Kosovo,Eastern Europe and Central Asia,NGO,Non-profit
100024,Kotalipara,KOTALIPARA DEVELOPMENT SOCIETY,India,South Asia,NGO,Non-profit
170654,KOYLI WIRNDE,MUTUELLE D'EPARGNE ET DE CREDIT KOYLI WIRNDE,Senegal,Africa,Credit Union / Cooperative,Unknown
116751,Kozibi,Kozibi,Rwanda,Africa,Credit Union / Cooperative,Unknown
100550,KPOSB,Kenya Post Office Savings Bank,Kenya,Africa,Bank,Profit
104468,Krasnochikoyskiy,Krasnochikoyskiy Credit Union,Russia,Eastern Europe and Central Asia,Credit Union / Cooperative,Non-profit
100001,KredAqro NBCO,KredAqro Non-Banking Credit Institution,Azerbaijan,Eastern Europe and Central Asia,NBFI,Non-profit
100611,KREDIT,KREDIT MFI,Cambodia,East Asia and the Pacific,NBFI,Profit
178208,Kreditex Rus,Kreditex Rus,Russia,Eastern Europe and Central Asia,Unknown,Unknown
